0,1023.00,1023.00
1,1023.00,1023.00
2,1023.00,1023.00
3,1023.00,1023.00
4,1023.00,1023.00
5,1023.00,1023.00
6,1023.00,1023.00
7,1023.00,1023.00
8,1023.00,1023.00
9,1023.00,1023.00
10,1023.00,1023.00
11,1023.00,1023.00
12,1023.00,1023.00
13,1023.00,1023.00
14,1023.00,1023.00
15,1023.00,1023.00
16,1023.00,1023.00
17,1023.00,1023.00
18,816.00,552.00
19,754.00,521.00
20,728.00,520.00
21,730.00,550.00
22,719.00,551.00
23,719.00,587.00
24,753.00,574.00
25,755.00,585.00
26,873.00,658.00
27,924.00,654.00
28,1022.00,679.00
29,808.00,564.00
30,789.00,541.00
31,773.00,538.00
32,763.00,536.00
33,759.00,532.00
34,759.00,531.00
35,797.00,535.00
36,802.00,538.00
37,790.00,540.00
38,771.00,523.00
39,813.00,581.00
40,850.00,590.00
41,845.00,588.00
42,752.00,529.00
43,748.00,525.00
44,744.00,525.00
45,737.00,524.00
46,738.00,526.00
47,741.00,569.00
48,755.00,600.00
49,873.00,1023.00
50,1023.00,1023.00
51,1023.00,1023.00
52,1023.00,1023.00
53,1023.00,1023.00
54,1023.00,1023.00
